txn_id,txn_date,txn_time,from_account,from_name,to_account,to_name,amount_inr,txn_type,channel,sub_network,flag,notes
TXN202500016,2025-11-11,11:15:00,A002,Victim,A001,NGO Sirmaur,3000000,RTGS,NET_BANKING,SN-A,HIGH_VALUE,Main victim transfer tranche 3
TXN202500017,2025-11-11,15:30:00,A002,Victim,A001,NGO Sirmaur,1600000,RTGS,NET_BANKING,SN-A,HIGH_VALUE,Main victim transfer tranche 4
TXN202500018,2025-11-12,10:00:00,A001,NGO Sirmaur,A010,Intermediary Bihar,2000000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,Layering step 1
TXN202500019,2025-11-12,14:00:00,A010,Intermediary Bihar,A011,Prabhakar,2000000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,Layering step 2
TXN202500020,2025-11-13,11:00:00,A011,Prabhakar,CASH,Self,2000000,CASH_DEPOSIT,BRANCH,SN-A,HIGH_VALUE,Cash withdrawal
TXN202500021,2025-11-14,10:00:00,A001,NGO Sirmaur,A010,Intermediary Bihar,2500000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,Layering step 1
TXN202500022,2025-11-14,15:00:00,A010,Intermediary Bihar,A011,Prabhakar,2500000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,Layering step 2
TXN202500023,2025-11-15,10:30:00,A011,Prabhakar,CASH,Self,2500000,CASH_DEPOSIT,BRANCH,SN-A,HIGH_VALUE,Cash withdrawal
TXN202500024,2025-11-16,09:15:00,EXT_MULE_1,Unknown,A003,Mule 3,12000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500025,2025-11-16,12:00:00,A003,Mule 3,CASH,Self,12000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500026,2025-11-17,14:30:00,EXT_MULE_2,Unknown,A004,Mule 4,18000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500027,2025-11-17,18:15:00,A004,Mule 4,CASH,Self,18000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500028,2025-11-18,10:45:00,EXT_MULE_3,Unknown,A005,Mule 5,22000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500029,2025-11-18,16:00:00,A005,Mule 5,CASH,Self,22000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500030,2025-11-19,11:20:00,EXT_MULE_4,Unknown,A003,Mule 3,15000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500031,2025-11-19,14:40:00,A003,Mule 3,CASH,Self,15000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500032,2025-11-20,09:50:00,EXT_MULE_5,Unknown,A004,Mule 4,11000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500033,2025-11-20,13:10:00,A004,Mule 4,CASH,Self,11000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500034,2025-11-20,15:30:00,EXT_MULE_6,Unknown,A005,Mule 5,30000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500035,2025-11-20,19:00:00,A005,Mule 5,CASH,Self,30000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500036,2025-11-21,08:15:00,EXT_IFSO_1,Victim,A006,IFSO Primary,5000,IMPS,MOBILE_APP,SN-C,BURST_ANOMALY,Burst inbound
TXN202500037,2025-11-21,08:30:00,A006,IFSO Primary,A007,IFSO Secondary,5000,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500038,2025-11-21,09:00:00,A007,IFSO Secondary,A009,Hawala Clearing,5000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500039,2025-11-21,10:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,5000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500040,2025-11-21,10:15:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,5000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500041,2025-11-21,11:00:00,EXT_IFSO_2,Victim,A006,IFSO Primary,999999,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500042,2025-11-21,11:10:00,A006,IFSO Primary,A008,IFSO Secondary,999999,RTGS,NET_BANKING,SN-C,STRUCTURING,Internal transfer
TXN202500043,2025-11-21,12:00:00,A008,IFSO Secondary,A009,Hawala Clearing,999999,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500044,2025-11-21,13:30:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500045,2025-11-21,13:45:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500046,2025-11-22,09:20:00,EXT_IFSO_3,Victim,A006,IFSO Primary,2500000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500047,2025-11-22,09:40:00,A006,IFSO Primary,A007,IFSO Secondary,2500000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500048,2025-11-22,10:30:00,A007,IFSO Secondary,A009,Hawala Clearing,2500000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500049,2025-11-22,12:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,2500000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500050,2025-11-22,12:20:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,2500000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500051,2025-11-22,14:15:00,EXT_IFSO_4,Victim,A006,IFSO Primary,15000,IMPS,MOBILE_APP,SN-C,BURST_ANOMALY,Burst inbound
TXN202500052,2025-11-22,14:35:00,A006,IFSO Primary,A008,IFSO Secondary,15000,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500053,2025-11-22,15:15:00,A008,IFSO Secondary,A009,Hawala Clearing,15000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500054,2025-11-22,17:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,15000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500055,2025-11-22,17:20:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,15000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500056,2025-11-23,10:05:00,EXT_IFSO_5,Victim,A006,IFSO Primary,999999,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500057,2025-11-23,10:25:00,A006,IFSO Primary,A007,IFSO Secondary,999999,RTGS,NET_BANKING,SN-C,STRUCTURING,Internal transfer
TXN202500058,2025-11-23,11:30:00,A007,IFSO Secondary,A009,Hawala Clearing,999999,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500059,2025-11-23,13:10:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500060,2025-11-23,13:30:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500061,2025-11-23,15:40:00,EXT_IFSO_6,Victim,A006,IFSO Primary,5000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500062,2025-11-23,16:00:00,A006,IFSO Primary,A008,IFSO Secondary,5000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500063,2025-11-23,17:10:00,A008,IFSO Secondary,A009,Hawala Clearing,5000000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500064,2025-11-23,19:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,5000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500065,2025-11-23,19:25:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,5000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500066,2025-11-24,09:15:00,EXT_IFSO_7,Victim,A006,IFSO Primary,80000,IMPS,MOBILE_APP,SN-C,BURST_ANOMALY,Burst inbound
TXN202500067,2025-11-24,09:30:00,A006,IFSO Primary,A007,IFSO Secondary,80000,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500068,2025-11-24,10:20:00,A007,IFSO Secondary,A009,Hawala Clearing,80000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500069,2025-11-24,12:15:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,80000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500070,2025-11-24,12:40:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,80000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500071,2025-11-24,14:00:00,EXT_IFSO_8,Victim,A006,IFSO Primary,999999,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500072,2025-11-24,14:15:00,A006,IFSO Primary,A008,IFSO Secondary,999999,RTGS,NET_BANKING,SN-C,STRUCTURING,Internal transfer
TXN202500073,2025-11-24,15:10:00,A008,IFSO Secondary,A009,Hawala Clearing,999999,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500074,2025-11-24,17:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500075,2025-11-24,17:25:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500076,2025-11-25,10:30:00,EXT_IFSO_9,Victim,A006,IFSO Primary,3000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500077,2025-11-25,10:50:00,A006,IFSO Primary,A007,IFSO Secondary,3000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500078,2025-11-25,11:45:00,A007,IFSO Secondary,A009,Hawala Clearing,3000000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500079,2025-11-25,13:30:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,3000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500080,2025-11-25,13:55:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,3000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500081,2025-11-25,15:10:00,EXT_IFSO_10,Victim,A006,IFSO Primary,50000,IMPS,MOBILE_APP,SN-C,BURST_ANOMALY,Burst inbound
TXN202500082,2025-11-25,15:25:00,A006,IFSO Primary,A008,IFSO Secondary,50000,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500083,2025-11-25,16:15:00,A008,IFSO Secondary,A009,Hawala Clearing,50000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500084,2025-11-25,18:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,50000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500085,2025-11-25,18:20:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,50000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500086,2025-11-26,09:00:00,EXT_IFSO_11,Victim,A006,IFSO Primary,999999,IMPS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500087,2025-11-26,09:15:00,A006,IFSO Primary,A007,IFSO Secondary,999999,RTGS,NET_BANKING,SN-C,STRUCTURING,Internal transfer
TXN202500088,2025-11-26,10:10:00,A007,IFSO Secondary,A009,Hawala Clearing,999999,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500089,2025-11-26,12:00:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500090,2025-11-26,12:25:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,999999,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500091,2025-11-26,14:20:00,EXT_IFSO_12,Victim,A006,IFSO Primary,1000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Burst inbound
TXN202500092,2025-11-26,14:40:00,A006,IFSO Primary,A008,IFSO Secondary,1000000,RTGS,NET_BANKING,SN-C,BURST_ANOMALY,Internal transfer
TXN202500093,2025-11-26,15:30:00,A008,IFSO Secondary,A009,Hawala Clearing,1000000,HAWALA,INFORMAL,SN-C,SUSPICIOUS,Hawala clearing
TXN202500094,2025-11-26,17:15:00,A009,Hawala Clearing,CW001,Crypto Wallet 1,1000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 1
TXN202500095,2025-11-26,17:40:00,CW001,Crypto Wallet 1,CW002,Crypto Wallet 2,1000000,CRYPTO_TRANSFER,CRYPTO_EXCHANGE,SN-C,SUSPICIOUS,Crypto conversion 2
TXN202500096,2025-11-27,09:40:00,EXT_MULE_7,Unknown,A003,Mule 3,25000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500097,2025-11-27,11:20:00,A003,Mule 3,CASH,Self,25000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500098,2025-11-28,15:10:00,EXT_MULE_8,Unknown,A004,Mule 4,14000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500099,2025-11-28,18:00:00,A004,Mule 4,CASH,Self,14000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500100,2025-11-29,10:25:00,EXT_MULE_9,Unknown,A005,Mule 5,28000,UPI,MOBILE_APP,SN-B,NORMAL,Mule inbound
TXN202500101,2025-11-29,13:50:00,A005,Mule 5,CASH,Self,28000,CASH_DEPOSIT,ATM,SN-B,NORMAL,ATM withdrawal
TXN202500102,2025-11-30,12:00:00,A001,NGO Sirmaur,A010,Intermediary Bihar,1800000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,Layering step 1
TXN202500103,2025-11-30,16:00:00,A010,Intermediary Bihar,A011,Prabhakar,1800000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,Layering step 2
TXN202500104,2025-12-01,10:30:00,A011,Prabhakar,CASH,Self,1800000,CASH_DEPOSIT,BRANCH,SN-A,HIGH_VALUE,Cash withdrawal
TXN-CYH-10000,External_Victim,A1101,4538907.93,INR,2025-07-12T14:14:06,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10001,External_Victim,A1101,4538907.93,INR,2025-08-31T16:10:37,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10002,External_Victim,A1101,4538907.93,INR,2025-08-30T16:12:09,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10003,A1101,A1005,12935887.59,INR,2025-11-08T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10004,External_Victim,A1102,4458771.41,INR,2025-11-12T06:30:20,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10005,External_Victim,A1102,4458771.41,INR,2025-08-29T09:52:17,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10006,External_Victim,A1102,4458771.41,INR,2025-06-07T03:53:56,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10007,A1102,A1007,12707498.51,INR,2025-11-09T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10008,External_Victim,A1103,2104529.95,INR,2025-06-22T06:05:01,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10009,External_Victim,A1103,2104529.95,INR,2025-08-21T21:12:35,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10010,External_Victim,A1103,2104529.95,INR,2025-09-18T20:14:46,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10011,External_Victim,A1103,2104529.95,INR,2025-07-13T02:30:32,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10012,External_Victim,A1103,2104529.95,INR,2025-07-11T23:36:38,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10013,A1103,A1009,9996517.27,INR,2025-10-27T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10014,External_Victim,A1104,3503852.15,INR,2025-10-27T16:21:08,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10015,External_Victim,A1104,3503852.15,INR,2025-11-16T23:40:14,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10016,External_Victim,A1104,3503852.15,INR,2025-07-24T20:49:36,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10017,External_Victim,A1104,3503852.15,INR,2025-09-17T02:47:23,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10018,A1104,A1007,13314638.17,INR,2025-11-07T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10019,External_Victim,A1105,1683828.16,INR,2025-08-27T23:46:36,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10020,External_Victim,A1105,1683828.16,INR,2025-08-30T22:10:33,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10021,External_Victim,A1105,1683828.16,INR,2025-09-22T23:34:12,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10022,External_Victim,A1105,1683828.16,INR,2025-09-05T05:47:32,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10023,External_Victim,A1105,1683828.16,INR,2025-06-07T07:19:07,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10024,External_Victim,A1105,1683828.16,INR,2025-08-08T08:52:28,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10025,A1105,A1007,9597820.50,INR,2025-11-04T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10026,External_Victim,A1106,2418873.47,INR,2025-06-16T12:33:50,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10027,External_Victim,A1106,2418873.47,INR,2025-10-17T15:08:39,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10028,External_Victim,A1106,2418873.47,INR,2025-06-10T04:34:35,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10029,External_Victim,A1106,2418873.47,INR,2025-10-07T10:07:13,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10030,External_Victim,A1106,2418873.47,INR,2025-07-24T00:37:03,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10031,A1106,A1005,11489648.96,INR,2025-11-16T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10032,External_Victim,A1107,3968736.86,INR,2025-08-01T22:04:31,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10033,External_Victim,A1107,3968736.86,INR,2025-09-10T10:24:58,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10034,External_Victim,A1107,3968736.86,INR,2025-08-28T11:28:23,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10035,A1107,A1008,11310900.05,INR,2025-11-03T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10036,External_Victim,A1108,4949645.74,INR,2025-09-27T11:41:50,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10037,External_Victim,A1108,4949645.74,INR,2025-06-01T12:51:47,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10038,External_Victim,A1108,4949645.74,INR,2025-06-12T22:28:37,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10039,A1108,A1005,14106490.36,INR,2025-11-03T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10040,External_Victim,A1109,2476840.88,INR,2025-08-11T23:08:16,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10041,External_Victim,A1109,2476840.88,INR,2025-09-28T00:03:23,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10042,External_Victim,A1109,2476840.88,INR,2025-10-22T20:41:42,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10043,External_Victim,A1109,2476840.88,INR,2025-11-09T04:31:17,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10044,External_Victim,A1109,2476840.88,INR,2025-08-10T22:18:24,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10045,External_Victim,A1109,2476840.88,INR,2025-10-11T05:21:03,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10046,A1109,A1004,14117992.99,INR,2025-11-17T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10047,External_Victim,A1110,2765504.47,INR,2025-07-01T22:04:11,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10048,External_Victim,A1110,2765504.47,INR,2025-11-18T07:36:15,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10049,External_Victim,A1110,2765504.47,INR,2025-07-05T08:29:14,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10050,External_Victim,A1110,2765504.47,INR,2025-10-22T11:21:34,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10051,External_Victim,A1110,2765504.47,INR,2025-11-21T16:11:51,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10052,A1110,A1007,13136146.22,INR,2025-11-13T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10053,External_Victim,A1111,3458561.32,INR,2025-06-02T00:09:23,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10054,External_Victim,A1111,3458561.32,INR,2025-08-10T06:26:24,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10055,External_Victim,A1111,3458561.32,INR,2025-07-08T03:38:31,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10056,A1111,A1007,9856899.75,INR,2025-11-24T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10057,External_Victim,A1112,2911468.51,INR,2025-10-24T04:58:14,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10058,External_Victim,A1112,2911468.51,INR,2025-09-30T16:07:33,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10059,External_Victim,A1112,2911468.51,INR,2025-07-02T18:44:08,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10060,External_Victim,A1112,2911468.51,INR,2025-10-17T06:52:30,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10061,External_Victim,A1112,2911468.51,INR,2025-10-28T14:49:26,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10062,A1112,A1010,13829475.41,INR,2025-11-15T00:00:00,RTGS,COMPLETED,Bank Statement,Upward funneling
TXN-CYH-10063,External_Victim,A1113,4002595.11,INR,2025-06-15T23:11:18,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
TXN-CYH-10064,External_Victim,A1113,4002595.11,INR,2025-09-30T22:52:43,IMPS/NEFT,COMPLETED,Bank Statement,Victim deposit
