location_id,location_name,city,state,country,latitude,longitude,location_type,linked_entity_ids,sub_network,event_count,notes
LOC204,Kolkata NCIC 2.0 Base 1,Kolkata,West Bengal,India,22.59992931650646,88.37515608824326,OPERATIONAL_BASE,P2003;P2038;P2044;P2065;P2068;P2096;P2100;P2101;P2120;P2221;P2227;P2234;P2239;P2252;P2265;P2301;P2315;P2324;P2335;P2341;P2354;P2377;P2405;P2406;P2409;P2411;P2413;P2416;P2432;P2434;P2439;P2441;P2445;P2459;P2461;P2467;P2476;P2480;P2486;P2487;P2514;P2591;P2603;P2615;P2618;P2622;P2653;P2664;P2674;P2676;P2680;P2681;P2700;P2726;P2740;P2769;P2785;P2791;P2794;P2805;P2807;P2810;P2835;P2845;P2851;P2856;P2881;P2882;P2896;P2902;P2920;P2926;P2950;P2954;P2958;P2991;P3009;P3012;P3032;P3035;P3055;P3070;P3099;P3102;P3110;P3129;P3137;P3143;P3145;P3165;P3171;P3173;P3179;P3200;P3235;P3253;P3257;P3290;P3302;P3303,SN-E,200,NCIC 2.0 Extended Network
LOC205,Kolkata NCIC 2.0 Base 2,Kolkata,West Bengal,India,22.530225462580965,88.35059167528888,OPERATIONAL_BASE,P3314;P3337;P3343;P3349;P3359;P3379;P3399;P3400;P3428;P3438;P3440;P3451;P3469;P3471;P3472;P3483;P3506;P3513;P3523;P3529;P3538;P3545;P3554;P3557;P3562;P3564;P3581;P3591;P3620;P3623;P3630;P3634;P3649;P3657;P3660;P3687;P3703;P3705;P3717;P3728;P3733;P3755;P3778;P3798;P3799;P3804;P3821;P3837;P3861;P3865;P3876;P3903;P3921;P3931;P3944,SN-E,110,NCIC 2.0 Extended Network
LOC206,Kochi NCIC 2.0 Base 1,Kochi,Kerala,India,9.910746954355178,76.28968075591855,OPERATIONAL_BASE,P2004;P2019;P2030;P2054;P2112;P2119;P2127;P2131;P2139;P2141;P2143;P2170;P2207;P2216;P2219;P2220;P2254;P2268;P2289;P2298;P2305;P2307;P2326;P2372;P2376;P2384;P2419;P2422;P2424;P2435;P2455;P2458;P2502;P2506;P2515;P2523;P2529;P2532;P2543;P2558;P2562;P2566;P2585;P2605;P2616;P2666;P2678;P2725;P2746;P2750;P2774;P2786;P2795;P2803;P2804;P2829;P2846;P2859;P2863;P2884;P2925;P2948;P2963;P2964;P2965;P2995;P3013;P3015;P3053;P3068;P3074;P3077;P3085;P3092;P3094;P3097;P3108;P3114;P3124;P3140;P3209;P3225;P3230;P3243;P3244;P3252;P3271;P3273;P3276;P3291;P3296;P3309;P3326;P3330;P3342;P3345;P3369;P3372;P3385;P3386,SN-E,200,NCIC 2.0 Extended Network
LOC207,Kochi NCIC 2.0 Base 2,Kochi,Kerala,India,9.895467935900072,76.28219224374871,OPERATIONAL_BASE,P3402;P3413;P3420;P3424;P3432;P3442;P3476;P3494;P3499;P3528;P3536;P3548;P3561;P3572;P3577;P3597;P3612;P3618;P3632;P3645;P3654;P3665;P3692;P3695;P3699;P3702;P3707;P3726;P3763;P3785;P3797;P3801;P3803;P3813;P3817;P3818;P3822;P3829;P3833;P3848;P3898;P3915;P3922;P3928;P3939;P3954,SN-E,92,NCIC 2.0 Extended Network
LOC208,Hyderabad NCIC 2.0 Base 1,Hyderabad,Telangana,India,17.429021235990696,78.45804872851942,OPERATIONAL_BASE,P2005;P2028;P2043;P2045;P2051;P2077;P2079;P2082;P2085;P2092;P2094;P2107;P2152;P2153;P2157;P2164;P2165;P2168;P2180;P2185;P2192;P2204;P2211;P2214;P2225;P2241;P2273;P2279;P2285;P2292;P2320;P2337;P2360;P2368;P2369;P2386;P2418;P2438;P2452;P2453;P2463;P2466;P2478;P2490;P2527;P2545;P2555;P2576;P2581;P2611;P2651;P2668;P2669;P2670;P2682;P2723;P2752;P2754;P2782;P2812;P2814;P2861;P2871;P2874;P2893;P2946;P2984;P2992;P3005;P3021;P3039;P3057;P3060;P3076;P3080;P3086;P3093;P3105;P3159;P3166;P3169;P3172;P3176;P3185;P3189;P3193;P3208;P3211;P3229;P3232;P3239;P3263;P3268;P3270;P3305;P3316;P3319;P3323;P3331;P3334,SN-E,200,NCIC 2.0 Extended Network
LOC209,Hyderabad NCIC 2.0 Base 2,Hyderabad,Telangana,India,17.36042519167666,78.53264825746669,OPERATIONAL_BASE,P3335;P3344;P3352;P3394;P3447;P3455;P3464;P3478;P3497;P3500;P3504;P3516;P3522;P3527;P3541;P3547;P3558;P3576;P3582;P3585;P3587;P3640;P3668;P3676;P3685;P3694;P3722;P3729;P3736;P3739;P3743;P3752;P3753;P3768;P3772;P3773;P3827;P3831;P3832;P3835;P3843;P3844;P3845;P3869;P3882;P3900;P3904;P3910;P3913;P3926;P3934;P3958;P3959;P3961;P3969;P3972;P3977;P3980;P3990;P3997,SN-E,120,NCIC 2.0 Extended Network
LOC210,Ahmedabad NCIC 2.0 Base 1,Ahmedabad,Gujarat,India,23.00509534748506,72.57881295968302,OPERATIONAL_BASE,P2006;P2015;P2023;P2041;P2046;P2047;P2056;P2058;P2063;P2087;P2105;P2129;P2136;P2166;P2169;P2172;P2174;P2175;P2181;P2199;P2205;P2233;P2238;P2251;P2256;P2288;P2297;P2332;P2343;P2353;P2363;P2366;P2380;P2391;P2400;P2443;P2444;P2457;P2477;P2485;P2500;P2518;P2525;P2530;P2549;P2561;P2563;P2570;P2587;P2607;P2609;P2619;P2620;P2621;P2637;P2685;P2689;P2694;P2717;P2727;P2731;P2756;P2763;P2768;P2787;P2789;P2792;P2799;P2809;P2818;P2830;P2878;P2895;P2903;P2906;P2913;P2927;P2935;P2940;P2966;P2978;P3007;P3020;P3023;P3030;P3036;P3042;P3051;P3054;P3061;P3098;P3101;P3106;P3109;P3138;P3146;P3154;P3161;P3222;P3245,SN-E,200,NCIC 2.0 Extended Network
LOC211,Ahmedabad NCIC 2.0 Base 2,Ahmedabad,Gujarat,India,23.00196096903269,72.5855761172643,OPERATIONAL_BASE,P3256;P3275;P3277;P3287;P3292;P3321;P3336;P3339;P3347;P3356;P3367;P3373;P3376;P3392;P3396;P3415;P3419;P3456;P3486;P3492;P3498;P3515;P3531;P3533;P3542;P3546;P3550;P3567;P3574;P3611;P3625;P3638;P3646;P3648;P3658;P3661;P3670;P3708;P3715;P3744;P3758;P3762;P3764;P3770;P3847;P3851;P3871;P3877;P3878;P3887;P3919;P3946;P3950;P3952;P3982;P3983,SN-E,112,NCIC 2.0 Extended Network
LOC212,Pune NCIC 2.0 Base 1,Pune,Maharashtra,India,18.567449733370346,73.81139083518104,OPERATIONAL_BASE,P2007;P2017;P2055;P2110;P2116;P2128;P2160;P2202;P2206;P2228;P2237;P2242;P2283;P2302;P2325;P2350;P2375;P2385;P2389;P2390;P2393;P2407;P2410;P2412;P2433;P2450;P2481;P2482;P2503;P2513;P2516;P2520;P2560;P2572;P2573;P2586;P2588;P2594;P2596;P2604;P2617;P2630;P2638;P2639;P2645;P2671;P2672;P2683;P2716;P2733;P2748;P2753;P2773;P2781;P2783;P2819;P2823;P2849;P2857;P2875;P2900;P2909;P2916;P2931;P2934;P2945;P2973;P2975;P2986;P3003;P3024;P3056;P3069;P3073;P3087;P3091;P3116;P3130;P3168;P3182;P3184;P3186;P3195;P3202;P3234;P3236;P3248;P3249;P3250;P3269;P3279;P3284;P3289;P3300;P3306;P3320;P3322;P3324;P3351;P3371,SN-E,200,NCIC 2.0 Extended Network
LOC213,Pune NCIC 2.0 Base 2,Pune,Maharashtra,India,18.485778534009963,73.89979980023311,OPERATIONAL_BASE,P3381;P3393;P3405;P3408;P3412;P3421;P3422;P3433;P3435;P3444;P3446;P3454;P3458;P3462;P3468;P3477;P3479;P3491;P3496;P3501;P3508;P3530;P3532;P3588;P3590;P3607;P3621;P3642;P3643;P3662;P3674;P3682;P3689;P3748;P3759;P3783;P3794;P3807;P3808;P3816;P3825;P3839;P3901;P3940;P3948;P3951;P3956;P3999,SN-E,96,NCIC 2.0 Extended Network
LOC214,Lucknow NCIC 2.0 Base 1,Lucknow,UP,India,26.820088883666376,80.98385290898317,OPERATIONAL_BASE,P2008;P2057;P2081;P2098;P2121;P2122;P2125;P2130;P2133;P2155;P2198;P2236;P2243;P2262;P2275;P2314;P2316;P2334;P2342;P2344;P2347;P2357;P2392;P2402;P2414;P2425;P2427;P2429;P2449;P2464;P2468;P2469;P2472;P2475;P2495;P2496;P2537;P2541;P2554;P2565;P2584;P2592;P2634;P2648;P2649;P2660;P2684;P2693;P2705;P2706;P2708;P2734;P2770;P2784;P2801;P2821;P2860;P2870;P2876;P2887;P2889;P2917;P2937;P2953;P2976;P2979;P2981;P3000;P3019;P3040;P3041;P3047;P3049;P3096;P3112;P3115;P3135;P3141;P3157;P3164;P3174;P3187;P3191;P3214;P3224;P3237;P3241;P3266;P3282;P3285;P3295;P3297;P3301;P3340;P3354;P3368;P3382;P3384;P3387;P3449,SN-E,200,NCIC 2.0 Extended Network
LOC215,Lucknow NCIC 2.0 Base 2,Lucknow,UP,India,26.821471871552603,80.94932238701968,OPERATIONAL_BASE,P3463;P3495;P3509;P3534;P3535;P3589;P3617;P3622;P3631;P3641;P3644;P3650;P3653;P3655;P3663;P3667;P3683;P3691;P3693;P3706;P3710;P3721;P3725;P3727;P3730;P3734;P3751;P3767;P3787;P3791;P3820;P3826;P3834;P3857;P3867;P3880;P3911;P3924;P3941;P3970;P3973;P3976;P3978;P3986;P3991,SN-E,90,NCIC 2.0 Extended Network
LOC216,Varanasi NCIC 2.0 Base 1,Varanasi,UP,India,25.268289053578762,83.01815877505986,OPERATIONAL_BASE,P2010;P2011;P2018;P2027;P2039;P2067;P2072;P2080;P2083;P2088;P2103;P2113;P2114;P2124;P2140;P2159;P2163;P2183;P2188;P2195;P2196;P2286;P2294;P2317;P2322;P2345;P2346;P2352;P2359;P2388;P2394;P2420;P2430;P2456;P2474;P2479;P2484;P2492;P2517;P2522;P2524;P2526;P2546;P2550;P2569;P2597;P2606;P2624;P2625;P2629;P2631;P2640;P2641;P2652;P2657;P2667;P2673;P2675;P2679;P2707;P2720;P2730;P2736;P2741;P2796;P2798;P2802;P2813;P2822;P2826;P2828;P2841;P2862;P2892;P2905;P2912;P2915;P2942;P2947;P2949;P2971;P2980;P2985;P2997;P2998;P3028;P3033;P3046;P3063;P3065;P3078;P3107;P3117;P3120;P3126;P3167;P3175;P3181;P3194;P3198,SN-E,200,NCIC 2.0 Extended Network
LOC217,Varanasi NCIC 2.0 Base 2,Varanasi,UP,India,25.284457678396258,82.96832510066464,OPERATIONAL_BASE,P3199;P3206;P3210;P3216;P3218;P3221;P3259;P3307;P3315;P3318;P3338;P3360;P3365;P3370;P3380;P3398;P3410;P3426;P3427;P3429;P3445;P3448;P3457;P3475;P3481;P3484;P3487;P3502;P3511;P3512;P3519;P3521;P3539;P3552;P3598;P3600;P3606;P3610;P3613;P3647;P3673;P3684;P3697;P3698;P3704;P3709;P3712;P3741;P3771;P3789;P3790;P3812;P3814;P3823;P3846;P3853;P3881;P3884;P3893;P3899;P3907;P3908;P3912;P3929;P3962;P3988,SN-E,132,NCIC 2.0 Extended Network
